alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
-5,-0.3705,0,-0.0006,-0.0335,0,0,0,0
-4,-0.2535,0,-0.00058,-0.0342,0,0,0,0
-3,-0.1363,0,-0.00057,-0.035,0,0,0,0
-2,-0.0191,0,-0.00057,-0.0358,0,0,0,0
-1,0.0981,0,-0.00056,-0.0366,0,0,0,0
0,0.2152,0,-0.00056,-0.0374,0,0,0,0
1,0.3323,0,-0.00056,-0.0383,0,0,0,0
2,0.4493,0,-0.00056,-0.0392,0,0,0,0
3,0.5662,0,-0.00057,-0.0401,0,0,0,0
4,0.6829,0,-0.00058,-0.0411,0,0,0,0
5,0.7994,0,-0.00059,-0.0421,0,0,0,0
6,0.9156,0,-0.00061,-0.0431,0,0,0,0
7,1.0316,0,-0.00062,-0.0441,0,0,0,0
8,1.1472,0,-0.00065,-0.0452,0,0,0,0
9,1.2625,0,-0.00067,-0.0463,0,0,0,0
10,1.3774,0,-0.0007,-0.0474,0,0,0,0
