#      x          Cp  
     0.80042    0.06699
     0.80817    0.06867
     0.81592    0.07040
     0.82368    0.07216
     0.83143    0.07398
     0.83919    0.07586
     0.84694    0.07781
     0.85470    0.07983
     0.86245    0.08195
     0.87021    0.08417
     0.87797    0.08652
     0.88572    0.08900
     0.89348    0.09165
     0.90124    0.09450
     0.90899    0.09758
     0.91675    0.10093
     0.92451    0.10463
     0.93226    0.10873
     0.94001    0.11335
     0.94775    0.11864
     0.95545    0.12478
     0.96310    0.13208
     0.97062    0.14097
     0.97789    0.15211
     0.98471    0.16652
     0.99086    0.18674
     0.99614    0.21373
     1.00000    0.31716
