alpha,CL,CD,CDp,CM,Top_Xtr,Bot_Xtr,Top_Itr,Bot_Itr
-5,-0.3388,0,-0.00062,-0.0507,0,0,0,0
-4,-0.2217,0,-0.00061,-0.0515,0,0,0,0
-3,-0.1046,0,-0.0006,-0.0524,0,0,0,0
-2,0.0126,0,-0.00059,-0.0532,0,0,0,0
-1,0.1298,0,-0.00059,-0.0541,0,0,0,0
0,0.2469,0,-0.00059,-0.0549,0,0,0,0
1,0.3639,0,-0.00059,-0.0558,0,0,0,0
2,0.4809,0,-0.0006,-0.0567,0,0,0,0
3,0.5976,0,-0.00061,-0.0576,0,0,0,0
4,0.7142,0,-0.00062,-0.0586,0,0,0,0
5,0.8306,0,-0.00064,-0.0595,0,0,0,0
6,0.9468,0,-0.00066,-0.0604,0,0,0,0
7,1.0626,0,-0.00069,-0.0614,0,0,0,0
8,1.1781,0,-0.00071,-0.0623,0,0,0,0
9,1.2933,0,-0.00074,-0.0633,0,0,0,0
10,1.4081,0,-0.00078,-0.0642,0,0,0,0
